uri,name,population,area,elevation,lat,lon,country,region,populationDensity,foundingYear,abstract,country_name,region_name,numTriples,numAttributes,hasAbstract,abstractLen
http://dbpedia.org/resource/Al_Wakrah,Al Wakrah,87970,75800000.0,,25.18000030517578,51.61000061035156,http://dbpedia.org/resource/Qatar,,,,,Qatar,,,4,0,0
"http://dbpedia.org/resource/Livermore,_California","Livermore, California",87955,68500000.0,150.876,37.68194580078125,-121.7680587768555,http://dbpedia.org/resource/United_States,,,,,United_States,,724.0,5,0,0
http://dbpedia.org/resource/Sassandra,Sassandra,87945,836000000.0,,4.949999809265137,-6.083333492279053,http://dbpedia.org/resource/Ivory_Coast,,,,,Ivory_Coast,,,4,0,0
http://dbpedia.org/resource/Maiquetía,Maiquetía,87909,,19.0,10.59583377838135,-66.97721862792969,http://dbpedia.org/resource/Venezuela,,,,,Venezuela,,,4,0,0
http://dbpedia.org/resource/Jhumri_Telaiya,Jhumri Telaiya,87867,,383.0,24.42893981933594,85.53546905517578,http://dbpedia.org/resource/India,,,,,India,,310.0,4,0,0
http://dbpedia.org/resource/Maarat_al-Numan,Maarat al-Numan,87742,,522.0,35.63333511352539,36.66666793823242,http://dbpedia.org/resource/Syria,,,,,Syria,,,4,0,0
http://dbpedia.org/resource/Auraiya,Auraiya,87736,9000000.0,137.0,26.46999931335449,79.5199966430664,http://dbpedia.org/resource/India,,,,,India,,,5,0,0
"http://dbpedia.org/resource/Donghae,_Gangwon","Donghae, Gangwon",87724,180010000.0,,37.52477264404297,129.1142883300781,,,521.61,,,,,,4,0,0
http://dbpedia.org/resource/Darkhan_(city),Darkhan (city),87696,103000000.0,665.0,49.46888732910156,105.9574966430664,http://dbpedia.org/resource/Mongolia,,,,,Mongolia,,,5,0,0
"http://dbpedia.org/resource/Faridkot,_India","Faridkot, India",87695,18140000.0,196.0,30.67000007629395,74.76000213623047,http://dbpedia.org/resource/India,,4842.0,,,India,,154.0,6,0,0
"http://dbpedia.org/resource/Tala,_Jalisco","Tala, Jalisco",87690,389240000.0,1820.0,20.66666603088379,-103.6999969482422,http://dbpedia.org/resource/Mexico,,,,,Mexico,,,5,0,0
"http://dbpedia.org/resource/San_Antonio,_Chile","San Antonio, Chile",87675,404500000.0,4.0,-33.59333419799805,-71.62166595458984,http://dbpedia.org/resource/Chile,,,,,Chile,,,5,0,0
"http://dbpedia.org/resource/Springdale,_Arkansas","Springdale, Arkansas",87672,128722409.0836992,406.908,36.19027709960938,-94.15750122070312,,,660.5,,,,,,5,0,0
"http://dbpedia.org/resource/Ama,_Aichi","Ama, Aichi",87651,27490000.0,,35.20044326782227,136.7832183837891,http://dbpedia.org/resource/Japan,,,,,Japan,,,4,0,0
http://dbpedia.org/resource/Margao,Margao,87650,16100000.0,10.0,15.27361106872559,73.95805358886719,,,,,,,,,4,0,0
"http://dbpedia.org/resource/Citrus_Heights,_California","Citrus Heights, California",87583,36820000.0,50.9016,38.70000076293945,-121.283332824707,,,2378.65,,,,,,5,0,0
"http://dbpedia.org/resource/Kameoka,_Kyoto","Kameoka, Kyoto",87518,224800000.0,,35.01666641235352,135.5666656494141,,,,,,,,,3,0,0
http://dbpedia.org/resource/Doncaster,Doncaster,87455,43500000.0,,,,http://dbpedia.org/resource/United_Kingdom,http://dbpedia.org/resource/Yorkshire,,,,United_Kingdom,Yorkshire,770.0,3,0,0
http://dbpedia.org/resource/Naushahro_Feroze,Naushahro Feroze,87416,,38.0,26.85000038146973,68.13333129882812,,,,,,,,,3,0,0
http://dbpedia.org/resource/Ben_Guerdane,Ben Guerdane,87404,4732000000.0,23.0,33.13888931274414,11.21666622161865,http://dbpedia.org/resource/Tunisia,,,,,Tunisia,,103.0,5,0,0
http://dbpedia.org/resource/Qatif_City,Qatif City,87332,350000000.0,10.0,26.55186080932617,50.02910995483398,http://dbpedia.org/resource/Saudi_Arabia,,,,,Saudi_Arabia,,90.0,5,0,0
http://dbpedia.org/resource/Treviso,Treviso,87322,55500000.0,15.0,45.66666793823242,12.25,http://dbpedia.org/resource/Italy,http://dbpedia.org/resource/Veneto,,,,Italy,Veneto,,6,0,0
"http://dbpedia.org/resource/Ogden,_Utah","Ogden, Utah",87321,71350000.0,1323.1368,41.22777938842773,-111.9683303833008,http://dbpedia.org/resource/United_States,,1223.770096608209,,,United_States,,676.0,6,0,0
"http://dbpedia.org/resource/Whittier,_California","Whittier, California",87306,37969225.69752576,112.0,33.96555709838867,-118.0244445800781,,,2249.006463293893,,,,,,5,0,0
"http://dbpedia.org/resource/Troy,_Michigan","Troy, Michigan",87294,87100000.0,227.9904,42.58027648925781,-83.14305877685547,,,1007.69,,,,,,5,0,0
http://dbpedia.org/resource/Chimbas,Chimbas,87258,,644.0,-31.5,-68.53194427490234,http://dbpedia.org/resource/Argentina,,,,,Argentina,,,4,0,0
"http://dbpedia.org/resource/Auburn,_Washington","Auburn, Washington",87256,77350000.0,28.0416,47.30389022827148,-122.2272186279297,,,1095.001165712718,,,,,470.0,5,0,0
"http://dbpedia.org/resource/Rubio,_Venezuela","Rubio, Venezuela",87249,315000000.0,,7.699999809265137,-72.3499984741211,http://dbpedia.org/resource/Venezuela,,,,,Venezuela,,,4,0,0
http://dbpedia.org/resource/Bir_al-Abd,Bir al-Abd,87219,,,31.01805686950684,33.01111221313477,http://dbpedia.org/resource/Egypt,,,,,Egypt,,,3,0,0
http://dbpedia.org/resource/Houndé,Houndé,87151,,357.0,11.5,-3.516666650772095,http://dbpedia.org/resource/Burkina_Faso,,,,,Burkina_Faso,,,4,0,0
http://dbpedia.org/resource/Dongducheon,Dongducheon,87099,95660000.0,,37.91666793823242,127.0666656494141,http://dbpedia.org/resource/South_Korea,,864.0,,,South_Korea,,362.0,5,0,0
http://dbpedia.org/resource/Heerlen,Heerlen,86874,,113.0,50.88333511352539,5.983333110809326,http://dbpedia.org/resource/Netherlands,,,,,Netherlands,,431.0,4,0,0
"http://dbpedia.org/resource/Deerfield_Beach,_Florida","Deerfield Beach, Florida",86859,42009607.14964992,3.9624,26.31805610656738,-80.09972381591797,http://dbpedia.org/resource/United_States,,2240.994843504137,,,United_States,,,6,0,0
http://dbpedia.org/resource/Les_Cayes,Les Cayes,86780,,,18.20000076293945,-73.75,http://dbpedia.org/resource/Haiti,,,,,Haiti,,,3,0,0
http://dbpedia.org/resource/Hansi,Hansi,86770,,207.0,29.10000038146973,75.97000122070312,http://dbpedia.org/resource/India,,,,,India,,242.0,4,0,0
